,open,close,low,high
2018-01-02,680.16,683.9,670.34,690.03
2018-01-03,681.62,695.57,679.91,700.95
2018-01-04,700.95,716.18,698.94,722.43
2018-01-05,720.0,717.43,707.58,724.89
2018-01-08,714.19,730.81,714.19,735.06
2018-01-09,730.89,760.34,730.89,760.81
2018-01-10,762.75,763.44,751.56,766.52
2018-01-11,764.7,752.85,750.12,765.67
2018-01-12,751.84,766.08,745.28,766.44
2018-01-15,770.97,763.11,756.94,776.41
2018-01-16,758.36,751.03,746.23,766.26
2018-01-17,748.18,726.73,717.58,752.06
2018-01-18,726.73,729.46,723.0,743.32
2018-01-19,731.56,728.92,718.08,737.39
2018-01-22,730.5,751.71,730.5,752.06
2018-01-23,755.77,751.85,746.82,757.89
2018-01-24,754.43,742.79,737.1,754.45
2018-01-25,739.43,747.36,729.72,754.01
2018-01-26,745.5,755.19,742.35,755.37
2018-01-29,756.69,715.45,714.17,757.57
2018-01-30,715.14,721.05,709.33,727.55
2018-01-31,718.06,742.87,718.06,749.84
2018-02-01,745.26,736.26,731.58,745.55
2018-02-02,730.9,719.42,704.45,731.88
2018-02-05,706.61,697.87,685.6,709.27
2018-02-06,683.08,688.77,683.08,702.12
2018-02-07,699.59,664.06,662.68,703.36
2018-02-08,662.87,681.12,662.87,697.65
2018-02-09,660.73,664.06,639.35,670.34
2018-02-12,671.42,677.71,665.78,685.51
2018-02-13,685.04,691.8,684.53,694.56
2018-02-14,699.59,698.09,692.03,699.59
2018-02-22,706.69,721.41,702.74,722.91
2018-02-23,725.83,721.44,716.11,735.12
2018-02-26,725.71,722.44,712.25,730.74
2018-02-27,727.77,717.06,716.33,734.57
2018-02-28,711.25,705.06,698.62,721.26
2018-03-01,707.37,720.94,703.26,725.68
2018-03-02,717.08,715.54,709.31,722.49
2018-03-05,717.26,699.7,696.71,720.97
2018-03-06,704.45,697.9,677.37,706.98
2018-03-07,694.74,689.92,688.9,703.48
2018-03-08,693.76,702.28,687.93,703.48
2018-03-09,706.93,707.56,703.0,711.81
2018-03-12,708.87,703.43,702.29,713.12
2018-03-13,702.51,690.22,689.88,706.01
2018-03-14,689.56,706.28,687.18,707.45
2018-03-15,707.39,725.31,707.39,725.83
2018-03-16,726.41,718.88,717.94,732.61
2018-03-19,722.89,732.13,718.06,732.62
2018-03-20,728.74,726.54,719.03,730.69
2018-03-21,728.85,720.97,719.03,731.77
2018-03-22,722.91,705.5,703.49,726.8
2018-03-23,681.13,690.91,680.24,702.99
2018-03-26,687.93,693.27,681.99,694.79
2018-03-27,702.51,694.48,684.05,705.31
2018-03-28,680.13,662.72,650.04,683.08
2018-03-29,662.87,669.57,639.75,678.07
2018-03-30,666.56,664.25,660.61,673.85
2018-04-02,660.73,660.79,655.0,671.42
2018-04-03,658.78,658.7,656.25,667.53
2018-04-04,662.67,674.34,661.1,680.58
2018-04-09,677.34,678.51,670.59,685.44
2018-04-10,684.83,687.95,678.66,688.42
2018-04-11,689.88,685.37,683.1,694.52
2018-04-12,684.05,674.53,672.6,686.85
2018-04-13,678.7,667.39,665.66,681.13
2018-04-16,661.29,662.07,657.81,667.38
2018-04-17,665.59,647.32,646.74,665.96
2018-04-18,651.98,637.06,626.72,651.98
2018-04-19,641.15,660.69,638.05,660.73
2018-04-20,661.7,651.26,649.29,674.33
2018-04-23,647.13,654.91,647.13,661.05
2018-04-24,656.84,670.33,655.87,673.85
2018-04-25,669.47,671.39,663.66,672.39
2018-04-26,672.39,659.01,653.93,672.66
2018-04-27,665.83,643.75,636.44,668.85
2018-05-02,641.29,648.9,626.78,650.03
2018-05-03,647.12,651.87,639.35,654.59
2018-05-04,651.96,644.08,641.85,655.7
2018-05-07,641.25,678.38,639.13,681.99
2018-05-08,678.25,688.74,678.25,691.95
2018-05-09,688.98,682.06,677.36,692.11
2018-05-10,683.56,693.95,683.56,695.71
2018-05-11,698.32,697.67,695.42,709.8
2018-05-14,703.48,721.37,703.48,721.94
2018-05-15,724.86,722.0,713.2,725.29
2018-05-16,719.03,713.7,712.5,724.53
2018-05-17,714.29,706.77,703.48,716.6
2018-05-18,703.47,718.37,700.75,720.0
2018-05-21,722.91,713.99,711.72,726.12
2018-05-22,714.38,718.61,709.33,718.87
2018-05-23,719.03,703.27,703.07,719.03
2018-05-24,699.59,695.12,692.79,708.01
2018-05-25,691.82,696.54,691.82,706.4
2018-05-28,697.65,719.42,694.85,719.67
2018-05-29,717.86,710.7,710.55,728.74
2018-05-30,706.61,705.3,699.64,716.4
2018-05-31,709.55,729.84,709.54,730.32
2018-06-01,729.84,723.99,717.82,733.58
2018-06-04,731.03,759.81,724.74,760.71
2018-06-05,764.21,765.72,755.2,772.18
2018-06-06,765.67,763.48,760.13,778.25
2018-06-07,767.59,758.84,756.83,773.0
2018-06-08,757.89,755.9,748.18,763.63
2018-06-11,754.06,753.74,746.55,763.72
2018-06-12,755.95,776.54,754.49,780.73
2018-06-13,777.33,767.93,766.52,779.87
2018-06-14,767.61,763.85,753.21,771.3
2018-06-15,761.92,762.04,757.88,767.22
2018-06-19,757.78,727.23,726.24,757.78
2018-06-20,730.19,752.45,730.19,753.84
2018-06-21,754.05,748.24,747.7,767.52
2018-06-22,743.0,755.34,739.06,755.81
2018-06-25,754.82,754.39,753.74,767.6
2018-06-26,754.14,743.79,736.1,758.64
2018-06-27,741.03,711.9,710.48,745.95
2018-06-28,703.58,700.56,686.83,708.51
2018-06-29,701.91,720.79,694.71,721.61
2018-07-02,723.8,701.17,692.74,728.54
2018-07-03,699.4,684.78,668.33,705.33
2018-07-04,681.9,680.83,677.96,689.78
2018-07-05,689.78,692.14,689.78,705.75
2018-07-06,696.68,703.7,689.06,710.41
2018-07-09,709.52,716.63,709.23,719.21
2018-07-10,718.36,715.17,702.92,720.83
2018-07-11,699.64,709.08,691.97,713.43
2018-07-12,707.52,726.78,707.52,730.35
2018-07-13,731.47,736.09,724.39,737.18
